>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 126 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:32 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 126 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:32 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 126 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:32 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 126 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:32 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 126 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:32 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 126 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:32 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 76 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:42 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 76 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:42 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:45 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:45 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 77 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:46 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
>>System Error :: Message => call_user_func_array() expects parameter 1 to be a valid callback, first array member is not a valid class name or object | ErrorNo => 2 | ErrorFile => 78 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\Cache.php |  [ Time : 11:47 | Date : 04.02.2015 ] 
